Dataset %,Cells,Episodes,Training Time,Eval Time,Total Time,Total (hours),Total (minutes),Total (seconds)
10,12142,10,2.3h,1.2h,3.6h,3.554636722648689,213.27820335892133,12796.69220153528
10,12142,20,2.3h,2.4h,4.8h,4.778420512684511,286.7052307610707,17202.31384566424
10,12142,50,2.3h,6.1h,8.4h,8.449771882791978,506.9863129675187,30419.178778051122
10,12142,100,2.3h,12h,15h,14.56869083297109,874.1214499782653,52447.28699869592
10,12142,200,2.3h,1.0d,1.1d,26.806528733329312,1608.3917239997586,96503.50343998552
10,12142,300,2.3h,1.5d,1.6d,39.04436663368753,2342.6619980212517,140559.71988127512
10,12142,500,2.3h,2.5d,2.6d,63.52004243440398,3811.202546064239,228672.15276385433
25,30356,10,6.0h,3.2h,9.2h,9.201779090749438,552.1067454449662,33126.404726697976
25,30356,20,6.0h,6.3h,12h,12.369750664046741,742.1850398428045,44531.10239056827
25,30356,50,6.0h,16h,22h,21.873665383938647,1312.4199230363188,78745.19538217912
25,30356,100,6.0h,1.3d,1.6d,37.713523250425155,2262.8113950255092,135768.68370153056
25,30356,200,6.0h,2.6d,2.9d,69.39323898339818,4163.59433900389,249815.66034023341
25,30356,300,6.0h,4.0d,4.2d,101.07295471637119,6064.377282982271,363862.63697893627
25,30356,500,6.0h,6.6d,6.9d,164.4323861823172,9865.943170939032,591956.590256342
50,60713,10,12h,6.5h,19h,18.895063834637632,1133.703830078258,68022.22980469548
50,60713,20,12h,13h,1.1d,25.400221643082123,1524.0132985849273,91440.79791509564
50,60713,50,12h,1.4d,1.9d,44.91569506841558,2694.941704104935,161696.5022462961
50,60713,100,12h,2.7d,3.2d,77.44148411063803,4646.489046638281,278789.3427982969
50,60713,200,12h,5.4d,5.9d,142.4930621950829,8549.583731704974,512975.0239022984
50,60713,300,12h,8.1d,8.6d,207.54464027952778,12452.678416771667,747160.7050063
50,60713,500,12h,14d,14d,337.64779644841747,20258.867786905048,1215532.067214303
75,91070,10,19h,9.9h,1.2d,28.78283482194027,1726.970089316416,103618.20535898497
75,91070,20,19h,20h,1.6d,38.69213623154323,2321.5281738925937,139291.69043355563
75,91070,50,19h,2.1d,2.9d,68.42004046035211,4105.202427621127,246312.14565726763
75,91070,100,19h,4.1d,4.9d,117.96654750836693,7077.992850502016,424679.57103012095
75,91070,200,19h,8.3d,9.0d,217.05956160439658,13023.573696263795,781414.4217758276
75,91070,300,19h,12d,13d,316.15257570042615,18969.15454202557,1138149.2725215342
75,91070,500,19h,21d,21d,514.3386038924855,30860.31623354913,1851618.9740129476
100,121427,10,1.1d,13h,1.6d,38.79906067720913,2327.9436406325476,139676.61843795286
100,121427,20,1.1d,1.1d,2.2d,52.15672989354596,3129.4037936127575,187764.22761676545
100,121427,50,1.1d,2.8d,3.8d,92.22973754255645,5533.784252553387,332027.0551532032
100,121427,100,1.1d,5.6d,6.6d,159.0180836242406,9541.085017454436,572465.1010472662
100,121427,200,1.1d,11d,12d,292.59477578760897,17555.686547256537,1053341.1928353922
100,121427,300,1.1d,17d,18d,426.1714679509773,25570.288077058634,1534217.2846235181
100,121427,500,1.1d,28d,29d,693.3248522777137,41599.49113666282,2495969.4681997695
